L_set_count,threshold_value,B_vector,percent_positive,percent_negative
42,0.9,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",47.62,52.38
41,1.4,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",46.34,53.66
41,1.5,"[1.9809819495033767,0.4668842227196186,0.828592405234903,-1.1511992028341802,-0.456492257273855]",48.78,51.22
38,1.5,"[-0.27400963322844474,0.22745579276976802,-1.6976320870785613,-1.642191680695758,-0.8397947339235117]",73.68,26.32
38,0.8,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",63.16,36.84
37,1.0,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",40.54,59.46
37,1.4,"[0.9183266711676912,-0.48813375087289357,0.3516374392469861,-1.488216990112809,1.4919720292599123]",56.76,43.24
36,1.5,"[1.9290063645263786,-0.9696590763226016,-0.22989868215205123,0.7267094145963848,-1.2725977572181675]",30.56,69.44
36,1.4,"[0.23152436253160635,0.43889002162713986,-0.8070442650531762,1.571304355882626,1.4635049338406612]",52.78,47.22
36,1.5,"[0.2733271740408614,-1.86738110176121,-1.2304268671529348,1.1260469498847177,0.1915577141568403]",52.78,47.22
34,1.1,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",44.12,55.88
34,1.0,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",52.94,47.06
34,1.1,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",52.94,47.06
33,1.3,"[-1.930242605267345,-0.6341286740187635,-0.3713492984845459,0.4881538359803588,1.089419597330283]",42.42,57.58
32,1.4,"[1.5329162669114238,-0.5302612718816002,1.7941201980321528,-0.08891483733846695,-0.2730625940932021]",53.12,46.88
